external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'},"{'href': None, 'total': 92692057}","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9', 'width': 160}]",Drake,96,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4
{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 124005415}",['pop'],https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e672b5f553298dcdccb0e676', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e672b5f553298dcdccb0e676', 'width': 160}]",Taylor Swift,100,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
{'spotify': 'https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X'},"{'href': None, 'total': 86371464}","['reggaeton', 'trap latino', 'urbano latino']",https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X,4q3ewBCX7sLwd24euuV69X,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb744a4243fb6cc938011a98f4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174744a4243fb6cc938011a98f4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178744a4243fb6cc938011a98f4', 'width': 160}]",Bad Bunny,95,artist,spotify:artist:4q3ewBCX7sLwd24euuV69X
{'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'},"{'href': None, 'total': 92947049}","['canadian contemporary r&b', 'canadian pop', 'pop']",https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749e528993a2820267b97f6aae', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789e528993a2820267b97f6aae', 'width': 160}]",The Weeknd,96,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
{'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'},"{'href': None, 'total': 78106982}","['canadian pop', 'pop']",https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748ae7f2aaa9817a704a87ea36', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788ae7f2aaa9817a704a87ea36', 'width': 160}]",Justin Bieber,91,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s
{'spotify': 'https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V'},"{'href': None, 'total': 116633221}","['pop', 'singer-songwriter pop', 'uk pop']",https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174784daff754ecfe0464ddbeb9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178784daff754ecfe0464ddbeb9', 'width': 160}]",Ed Sheeran,89,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
{'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'},"{'href': None, 'total': 91784173}","['detroit hip hop', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,7dGJo4pcD2V6oG8kP0tJRR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b', 'width': 160}]",Eminem,93,artist,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
{'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'},"{'href': None, 'total': 33771259}","['rap', 'slap house']",https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY,0Y5tJX1MQlPlqiwlOH1tJY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517419c2790744c792d05570bb71', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17819c2790744c792d05570bb71', 'width': 160}]",Travis Scott,94,artist,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
{'spotify': 'https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR'},"{'href': None, 'total': 100498775}",['pop'],https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517440b5c07ab77b6b1a9075fdc0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17840b5c07ab77b6b1a9075fdc0', 'width': 160}]",Ariana Grande,92,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},"{'href': None, 'total': 27603874}","['chicago rap', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746e835a500e791bf9c27a422a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786e835a500e791bf9c27a422a', 'width': 160}]",Kanye West,93,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
{'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'},"{'href': None, 'total': 45590192}","['dfw rap', 'melodic rap', 'pop', 'rap']",https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,246dkjvS1zLTtiykXe5h60,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e17c0aa1714a03d62b5ce4e0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e17c0aa1714a03d62b5ce4e0', 'width': 160}]",Post Malone,92,artist,spotify:artist:246dkjvS1zLTtiykXe5h60
{'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'},"{'href': None, 'total': 63222350}","['barbadian pop', 'pop', 'urban contemporary']",https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517499e4fca7c0b7cb166d915789', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17899e4fca7c0b7cb166d915789', 'width': 160}]",Rihanna,92,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
{'spotify': 'https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5'},"{'href': None, 'total': 37272864}","['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",https://api.spotify.com/v1/artists/1vyhD5VmyZ7KMfW5gqLgo5,1vyhD5VmyZ7KMfW5gqLgo5,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdea08796d296a58c5d060439', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dea08796d296a58c5d060439', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dea08796d296a58c5d060439', 'width': 160}]",J Balvin,88,artist,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
{'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'},"{'href': None, 'total': 76310345}","['k-pop', 'k-pop boy group', 'pop']",https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX,3Nrfpe0tUJi4K4DXYWgMUX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d642648235ebf3460d2d1f6a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d642648235ebf3460d2d1f6a', 'width': 160}]",BTS,87,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
{'spotify': 'https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH'},"{'href': None, 'total': 100972968}","['art pop', 'pop']",https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744a21b4760d2ecb7b0dcdc8da', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784a21b4760d2ecb7b0dcdc8da', 'width': 160}]",Billie Eilish,96,artist,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
{'spotify': 'https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i'},"{'href': None, 'total': 18931334}","['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",https://api.spotify.com/v1/artists/1RyvyyTE3xzB2ZywiAwp0i,1RyvyyTE3xzB2ZywiAwp0i,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747565b356bc9d9394eefa2ccb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787565b356bc9d9394eefa2ccb', 'width': 160}]",Future,93,artist,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
{'spotify': 'https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg'},"{'href': None, 'total': 33578667}","['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174437b9e2a82505b3d93ff1022', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178437b9e2a82505b3d93ff1022', 'width': 160}]",Kendrick Lamar,92,artist,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
{'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'},"{'href': None, 'total': 35722457}","['chicago rap', 'melodic rap', 'rap']",https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz,4MCBfE4596Uoi2O4DtmEMz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1908e1a8b79abf71d5598944', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741908e1a8b79abf71d5598944', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781908e1a8b79abf71d5598944', 'width': 160}]",Juice WRLD,88,artist,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
{'spotify': 'https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY'},"{'href': None, 'total': 37530191}","['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",https://api.spotify.com/v1/artists/1i8SpTcr7yvPOmcqrbnVXY,1i8SpTcr7yvPOmcqrbnVXY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc80f303b208a480f52e8180b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c80f303b208a480f52e8180b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c80f303b208a480f52e8180b', 'width': 160}]",Ozuna,87,artist,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY
{'spotify': 'https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh'},"{'href': None, 'total': 32538505}","['hip pop', 'pop', 'queens hip hop', 'rap']",https://api.spotify.com/v1/artists/0hCNtLu0JehylgoiP8L4Gh,0hCNtLu0JehylgoiP8L4Gh,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517407a50f0a9a8f11e5a1102cbd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17807a50f0a9a8f11e5a1102cbd', 'width': 160}]",Nicki Minaj,87,artist,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
